code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000368,185000,0,0,0,186300,0,0,44850,87000,0,0,200000,2020-7
KH-0000000369,0,0,0,43650,0,0,0,45273,85874,0,0,100000,2020-7
KH-0000000370,0,200000,0,30000,345710,0,0,0,84940,0,0,300000,2020-7
KH-0000000371,26000,25000,46000,90000,944345,0,0,46829,84672,0,0,600000,2020-7
KH-0000000372,0,0,0,90000,89920,0,0,10000,83700,0,190000,200000,2020-7
KH-0000000373,0,0,0,32880,0,0,0,0,81360,0,0,100000,2020-7
KH-0000000374,0,0,0,0,0,0,0,0,79251,0,164900,100000,2020-7
KH-0000000375,0,0,0,16698,0,0,49000,0,78000,0,0,100000,2020-7
KH-0000000376,30000,0,0,0,66000,0,0,0,77900,0,0,100000,2020-7
KH-0000000377,0,0,0,0,333664,0,0,0,76806,0,0,200000,2020-7
KH-0000000378,0,0,159000,90000,326570,0,0,89552,74664,0,0,600000,2020-7
KH-0000000379,0,44000,0,415701,0,93000,52000,67375,73814,0,0,300000,2020-7
KH-0000000380,0,0,0,0,276765,0,0,12420,71920,0,0,300000,2020-7
KH-0000000381,0,0,0,335000,38010,0,0,14868,71300,0,0,100000,2020-7
KH-0000000382,0,0,0,0,0,0,0,12480,70560,0,0,100000,2020-7
KH-0000000383,0,90210,0,105730,517952,0,19400,49289,69607,0,0,500000,2020-7
KH-0000000384,0,108000,25000,222000,81345,0,0,38490,68470,0,0,100000,2020-7
KH-0000000385,0,0,0,160000,406500,0,0,0,67620,0,0,100000,2020-7
KH-0000000386,30000,76000,0,0,0,0,0,116768,67014,0,32000,100000,2020-7
KH-0000000387,0,0,0,0,0,0,0,10095,66010,0,0,100000,2020-7
KH-0000000388,0,0,0,35000,82560,0,0,13140,63570,0,0,200000,2020-7
KH-0000000389,0,0,0,0,284411,0,0,79988,63550,0,0,200000,2020-7
KH-0000000390,0,0,0,0,0,0,0,0,61599,0,0,100000,2020-7
KH-0000000391,0,52000,0,25000,0,0,0,0,61380,0,0,100000,2020-7
KH-0000000392,0,0,0,0,60448,0,0,0,60000,0,0,100000,2020-7
KH-0000000393,0,0,0,0,0,0,0,0,59520,0,0,100000,2020-7
KH-0000000394,0,14000,35000,87000,113610,0,31500,4550,58653,0,0,200000,2020-7
KH-0000000395,0,0,0,0,379212,0,0,0,58200,0,50440,200000,2020-7
KH-0000000396,0,0,0,65000,57110,0,0,22050,55566,0,0,300000,2020-7
KH-0000000397,0,0,0,0,0,0,0,28394,55232,0,0,100000,2020-7
KH-0000000398,37000,25000,0,144000,38000,0,130000,24252,51600,0,0,200000,2020-7
KH-0000000399,0,22000,110000,0,303195,0,0,0,51156,0,0,100000,2020-7
KH-0000000400,0,0,110000,397816,66440,0,0,43353,51000,0,0,200000,2020-7
KH-0000000401,0,0,0,20000,0,0,52000,12180,49880,0,0,100000,2020-7
KH-0000000402,22000,104000,0,0,0,0,0,11752,43500,0,0,200000,2020-7
KH-0000000403,0,0,0,0,0,0,65000,51924,33572,0,150000,100000,2020-7
KH-0000000404,0,0,0,473743,0,0,19400,0,0,0,0,100000,2020-7
KH-0000000405,0,897250,0,0,129741,0,29585,72888,0,0,0,500000,2020-7
KH-0000000406,0,90000,0,0,0,0,0,0,0,0,0,100000,2020-7
KH-0000000407,0,125000,0,0,0,0,0,0,0,0,0,100000,2020-7
KH-0000000408,1760550,104760,62080,351634,221292,0,79055,466119,0,0,0,1500000,2020-7
KH-0000000409,0,441000,0,39000,39000,0,0,33848,0,0,0,400000,2020-7
KH-0000000410,13000,0,0,89923,374100,0,245000,50400,0,0,144560,300000,2020-7
KH-0000000411,0,0,0,0,636775,0,52000,58544,0,0,0,400000,2020-7
KH-0000000412,0,0,0,0,188762,0,0,0,0,0,0,100000,2020-7
KH-0000000413,0,0,150000,0,197328,0,49000,29900,0,0,0,100000,2020-7
KH-0000000414,0,0,0,38000,199440,0,10000,0,0,0,0,200000,2020-7
KH-0000000415,0,0,0,0,0,0,0,0,0,0,126000,100000,2020-7
KH-0000000416,0,47000,0,0,38340,0,0,72639,0,0,0,200000,2020-7
KH-0000000417,0,0,0,0,335716,0,0,0,0,0,0,100000,2020-7
KH-0000000418,0,0,0,18000,240510,0,0,0,0,0,0,200000,2020-7
KH-0000000419,0,0,0,0,430160,0,0,0,0,0,0,100000,2020-7
KH-0000000420,0,68000,0,0,0,0,49000,0,0,0,0,100000,2020-7
KH-0000000421,111000,0,148000,0,0,0,0,19312,0,0,0,200000,2020-7
KH-0000000422,0,0,0,34080,0,0,0,0,0,0,28000,100000,2020-7
KH-0000000423,0,0,124000,101380,0,0,0,0,0,0,0,200000,2020-7
KH-0000000424,0,0,182000,248800,0,0,0,24900,0,0,0,100000,2020-7
KH-0000000425,0,294395,202730,513630,72887,46318,50440,46793,0,0,0,800000,2020-7
KH-0000000426,0,0,0,40000,0,0,0,0,0,0,50000,100000,2020-7
KH-0000000427,945750,0,0,0,244392,0,0,0,0,0,0,100000,2020-7
KH-0000000428,0,0,0,10000,223164,0,0,23268,0,0,0,100000,2020-7
KH-0000000429,0,0,58000,0,74175,0,0,0,0,0,0,100000,2020-7
KH-0000000430,0,88000,0,0,0,0,0,0,0,0,0,100000,2020-7
KH-0000000431,0,71300,0,0,0,0,0,0,0,0,0,100000,2020-7
KH-0000000432,0,0,53350,0,69478,0,0,0,0,0,0,100000,2020-7
KH-0000000433,0,293000,55000,0,0,0,0,0,0,0,0,100000,2020-7
KH-0000000434,0,0,0,0,0,0,0,0,0,0,32000,100000,2020-7
KH-0000000435,0,133000,0,0,0,0,30500,8786,0,0,0,100000,2020-7
KH-0000000436,0,52000,0,0,106900,0,0,0,0,0,0,100000,2020-7
KH-0000000437,0,0,0,0,633793,0,0,0,0,0,0,100000,2020-7
KH-0000000438,0,0,0,0,1167480,0,0,0,0,0,0,400000,2020-7
KH-0000000439,165000,0,18000,36168,196680,0,96000,18350,0,0,0,400000,2020-7
KH-0000000440,0,0,76630,403520,340581,0,0,0,0,0,0,300000,2020-7
KH-0000000441,0,0,0,25000,321610,0,0,0,0,0,52000,200000,2020-7
KH-0000000442,0,0,35000,0,146156,0,0,35340,0,0,0,100000,2020-7
KH-0000000443,0,0,0,20000,227770,0,0,101315,0,0,0,300000,2020-7
KH-0000000444,0,0,0,60868,42168,0,31040,168878,0,0,0,100000,2020-7
KH-0000000445,0,311000,0,145000,0,0,0,64956,0,0,140000,200000,2020-7
KH-0000000446,0,0,116000,0,0,0,0,0,0,0,0,100000,2020-7
KH-0000000447,0,0,0,0,144640,0,0,0,0,0,0,100000,2020-7
KH-0000000448,0,0,0,0,259000,0,0,0,0,0,0,100000,2020-7
KH-0000000449,0,0,0,0,250850,0,20000,0,0,0,0,100000,2020-7
KH-0000000450,0,0,0,0,112770,0,0,13050,0,0,0,100000,2020-7
KH-0000000451,0,534000,0,116548,0,0,10000,13800,0,0,0,300000,2020-7
KH-0000000452,0,0,0,0,155485,0,0,0,0,0,0,100000,2020-7
KH-0000000453,0,0,0,0,40000,99000,0,0,0,0,0,100000,2020-7
KH-0000000454,0,0,75340,0,14550,0,0,0,0,0,0,100000,2020-7
KH-0000000455,0,0,0,60000,40660,0,0,0,0,0,100000,200000,2020-7
KH-0000000456,0,0,0,30000,0,75000,0,0,0,0,80000,200000,2020-7
KH-0000000457,0,0,0,0,189280,0,0,0,0,0,0,100000,2020-7
KH-0000000458,0,0,0,0,98255,0,0,0,0,0,0,100000,2020-7
KH-0000000459,0,0,0,82935,0,0,0,40855,0,0,0,100000,2020-7
